Id;FirstName;LastName;FullName;JobTitle;JobType;Email;Gender;HourlyRate;EmploymentType
0;Lillian;Schumm;Lillian Schumm;Customer Accounts Planner;Architect;Lillian_Schumm@gmail.com;Female;7;HalfTime
1;Ricardo;Kemmer;Ricardo Kemmer;Senior Group Associate;Planner;Ricardo48@yahoo.com;Female;13;FullTime
2;Lauren;Heathcote;Lauren Heathcote;Future Data Architect;Assistant;Lauren_Heathcote@gmail.com;Female;13;HalfTime
3;Lillian;Heathcote;Lillian Heathcote;Dynamic Optimization Director;Director;Lillian.Heathcote21@yahoo.com;Male;12;FullTime
4;Billie;Johnston;Billie Johnston;Forward Web Specialist;Developer;Billie.Johnston43@gmail.com;Female;6;HalfTime
5;Ted;Goldner;Ted Goldner;Principal Mobility Administrator;Strategist;Ted_Goldner@gmail.com;Male;13;FullTime
6;Edmund;Lueilwitz;Edmund Lueilwitz;Senior Interactions Liaison;Assistant;Edmund97@yahoo.com;Male;16;HalfTime
7;Drew;Rau;Drew Rau;Lead Accountability Orchestrator;Analyst;Drew_Rau@hotmail.com;Male;14;HalfTime
8;Sara;Becker;Sara Becker;Direct Identity Specialist;Officer;Sara71@yahoo.com;Male;16;HalfTime
9;Steven;Zulauf;Steven Zulauf;Corporate Program Facilitator;Engineer;Steven57@yahoo.com;Male;17;FullTime
10;Ethel;Murazik;Ethel Murazik;Corporate Paradigm Executive;Facilitator;Ethel_Murazik@hotmail.com;Male;15;HalfTime
11;Jeremy;Hyatt;Jeremy Hyatt;Chief Infrastructure Consultant;Administrator;Jeremy.Hyatt37@hotmail.com;Male;7;HalfTime
12;Erica;Fisher;Erica Fisher;Corporate Data Strategist;Strategist;Erica52@yahoo.com;Male;5;HalfTime
13;Elias;Grady;Elias Grady;Customer Quality Technician;Representative;Elias.Grady46@gmail.com;Male;17;HalfTime
14;Jan;Harris;Jan Harris;Future Directives Associate;Officer;Jan80@gmail.com;Male;7;FullTime
15;Jacquelyn;Schmitt;Jacquelyn Schmitt;Lead Configuration Strategist;Executive;Jacquelyn98@hotmail.com;Male;17;HalfTime
16;Martin;Aufderhar;Martin Aufderhar;Direct Functionality Representative;Representative;Martin.Aufderhar82@yahoo.com;Female;19;HalfTime
17;Grace;Watsica;Grace Watsica;Dynamic Interactions Analyst;Facilitator;Grace13@gmail.com;Male;17;FullTime
18;Amelia;Beer;Amelia Beer;Direct Implementation Associate;Supervisor;Amelia.Beer@gmail.com;Male;19;HalfTime
19;Santiago;Wilkinson;Santiago Wilkinson;Internal Security Liaison;Liaison;Santiago.Wilkinson61@yahoo.com;Male;5;FullTime
20;Leo;Bayer;Leo Bayer;International Accountability Analyst;Assistant;Leo28@hotmail.com;Male;6;HalfTime
21;Essie;Oberbrunner;Essie Oberbrunner;Dynamic Accounts Architect;Representative;Essie_Oberbrunner@gmail.com;Female;19;FullTime
22;Franklin;Kilback;Franklin Kilback;Direct Data Orchestrator;Engineer;Franklin.Kilback36@yahoo.com;Male;11;FullTime
23;Herbert;Kertzmann;Herbert Kertzmann;Regional Implementation Coordinator;Specialist;Herbert.Kertzmann@yahoo.com;Female;20;FullTime
24;Genevieve;Boyer;Genevieve Boyer;Senior Branding Representative;Specialist;Genevieve3@hotmail.com;Male;20;HalfTime
25;Enrique;Altenwerth;Enrique Altenwerth;Dynamic Data Technician;Architect;Enrique.Altenwerth5@yahoo.com;Female;9;FullTime
26;Alvin;Heller;Alvin Heller;Dynamic Integration Facilitator;Architect;Alvin19@gmail.com;Male;12;HalfTime
27;Omar;Harvey;Omar Harvey;Lead Response Strategist;Coordinator;Omar_Harvey46@hotmail.com;Male;13;HalfTime
28;Woodrow;Wehner;Woodrow Wehner;International Integration Executive;Executive;Woodrow98@yahoo.com;Male;7;HalfTime
29;Joyce;Jenkins;Joyce Jenkins;Product Brand Orchestrator;Executive;Joyce.Jenkins63@hotmail.com;Male;9;FullTime
30;Frances;O'Hara;Frances O'Hara;Future Interactions Director;Facilitator;Frances96@hotmail.com;Female;13;HalfTime
31;Jack;Schmidt;Jack Schmidt;Product Factors Associate;Facilitator;Jack_Schmidt63@yahoo.com;Female;5;FullTime
32;Irma;O'Reilly;Irma O'Reilly;Customer Paradigm Executive;Administrator;Irma80@hotmail.com;Female;18;FullTime
33;Marilyn;Lubowitz;Marilyn Lubowitz;Global Optimization Architect;Officer;Marilyn61@hotmail.com;Female;13;HalfTime
34;Kristi;West;Kristi West;Dynamic Marketing Consultant;Officer;Kristi0@hotmail.com;Male;6;FullTime
35;Orlando;Labadie;Orlando Labadie;Direct Implementation Director;Administrator;Orlando30@gmail.com;Female;17;HalfTime
36;Eva;Harvey;Eva Harvey;Corporate Response Analyst;Assistant;Eva_Harvey90@hotmail.com;Female;14;FullTime
37;Allen;Sporer;Allen Sporer;Regional Research Consultant;Analyst;Allen1@yahoo.com;Female;15;FullTime
38;Janie;Dickinson;Janie Dickinson;National Branding Planner;Orchestrator;Janie61@hotmail.com;Female;7;FullTime
39;Martha;Wisozk;Martha Wisozk;Legacy Security Facilitator;Officer;Martha87@gmail.com;Male;19;FullTime
40;Betsy;Powlowski;Betsy Powlowski;Global Group Specialist;Assistant;Betsy15@yahoo.com;Male;12;HalfTime
41;Johanna;Kovacek;Johanna Kovacek;Dynamic Tactics Specialist;Designer;Johanna92@hotmail.com;Male;10;FullTime
42;Mae;Pagac;Mae Pagac;Regional Accountability Supervisor;Supervisor;Mae0@yahoo.com;Female;15;FullTime
43;Alma;Halvorson;Alma Halvorson;Principal Branding Strategist;Architect;Alma87@yahoo.com;Male;12;HalfTime
44;Muriel;Ankunding;Muriel Ankunding;Future Quality Technician;Consultant;Muriel_Ankunding@gmail.com;Female;15;FullTime
45;Glen;Fritsch;Glen Fritsch;Principal Optimization Associate;Executive;Glen_Fritsch@hotmail.com;Female;16;HalfTime
46;Cristina;Huels;Cristina Huels;Global Group Orchestrator;Manager;Cristina_Huels@hotmail.com;Female;6;FullTime
47;Cornelius;Bergstrom;Cornelius Bergstrom;Corporate Directives Strategist;Representative;Cornelius59@hotmail.com;Female;13;FullTime
48;Eloise;Osinski;Eloise Osinski;Product Assurance Assistant;Producer;Eloise.Osinski51@hotmail.com;Female;14;HalfTime
49;Jason;Schowalter;Jason Schowalter;Senior Group Orchestrator;Specialist;Jason_Schowalter10@yahoo.com;Male;10;HalfTime
50;Brandi;Wolf;Brandi Wolf;Global Data Orchestrator;Designer;Brandi77@hotmail.com;Male;6;HalfTime
51;Tracey;Casper;Tracey Casper;Human Division Architect;Architect;Tracey.Casper43@yahoo.com;Male;18;FullTime
52;Lester;Funk;Lester Funk;Senior Operations Developer;Assistant;Lester_Funk85@yahoo.com;Female;15;HalfTime
53;Olivia;Keebler;Olivia Keebler;Direct Paradigm Liaison;Planner;Olivia_Keebler73@gmail.com;Female;10;HalfTime
54;Catherine;Kub;Catherine Kub;Human Identity Representative;Analyst;Catherine8@hotmail.com;Male;8;HalfTime
55;Corey;O'Hara;Corey O'Hara;Central Quality Administrator;Coordinator;Corey.OHara@hotmail.com;Female;13;HalfTime
56;Melba;Watsica;Melba Watsica;Internal Tactics Planner;Orchestrator;Melba_Watsica85@hotmail.com;Female;5;HalfTime
57;Al;Koelpin;Al Koelpin;Product Creative Liaison;Associate;Al18@gmail.com;Female;10;HalfTime
58;Conrad;Durgan;Conrad Durgan;Lead Paradigm Designer;Representative;Conrad_Durgan@gmail.com;Male;20;HalfTime
59;Rick;Shanahan;Rick Shanahan;Forward Intranet Consultant;Planner;Rick19@gmail.com;Male;13;FullTime
