Id;FirstName;LastName;JobType;Email;Gender;HourlyRate;EmploymentType
0;Wayne;Mertz;Administrator;Wayne0@gmail.com;Female;15;FullTime
1;Sarah;Konopelski;Administrator;Sarah_Konopelski@gmail.com;Male;0;Intern
2;Cathy;Hilll;Liaison;Cathy_Hilll91@yahoo.com;Male;8;FullTime
3;Jim;Koelpin;Representative;Jim.Koelpin94@yahoo.com;Female;5;FullTime
4;Beverly;Turcotte;Director;Beverly.Turcotte12@hotmail.com;Male;13;HalfTime
5;Martha;Von;Associate;Martha.Von86@yahoo.com;Female;19;FullTime
6;Cristina;Waelchi;Manager;Cristina.Waelchi31@hotmail.com;Female;10;HalfTime
7;Tony;Dicki;Administrator;Tony.Dicki@hotmail.com;Female;12;HalfTime
8;Hilda;Gusikowski;Associate;Hilda.Gusikowski@yahoo.com;Female;9;FullTime
9;April;King;Consultant;April_King17@hotmail.com;Female;20;FullTime
10;Randy;Daniel;Planner;Randy_Daniel16@hotmail.com;Female;0;Intern
11;Mitchell;Vandervort;Producer;Mitchell.Vandervort47@hotmail.com;Male;16;FullTime
12;Margarita;Rohan;Supervisor;Margarita24@gmail.com;Male;18;FullTime
13;Omar;Satterfield;Supervisor;Omar8@yahoo.com;Male;0;Intern
14;Lillie;Batz;Planner;Lillie2@gmail.com;Male;14;HalfTime
15;Sandy;Johnston;Consultant;Sandy_Johnston@yahoo.com;Female;6;FullTime
16;Erma;Marquardt;Orchestrator;Erma_Marquardt22@hotmail.com;Female;6;FullTime
17;Gabriel;Nader;Director;Gabriel96@gmail.com;Male;7;FullTime
18;Jeanne;Hirthe;Specialist;Jeanne.Hirthe@gmail.com;Male;19;FullTime
19;Alberta;Schiller;Facilitator;Alberta.Schiller46@hotmail.com;Male;10;HalfTime
20;Louise;Abshire;Engineer;Louise54@yahoo.com;Female;19;FullTime
21;Rosemary;Padberg;Manager;Rosemary_Padberg@gmail.com;Female;0;Intern
22;Jorge;Schultz;Facilitator;Jorge_Schultz@gmail.com;Male;9;HalfTime
23;Glen;Greenfelder;Assistant;Glen1@yahoo.com;Female;0;Intern
24;Robin;Crooks;Orchestrator;Robin_Crooks@gmail.com;Female;19;FullTime
25;Gretchen;Stark;Producer;Gretchen.Stark@hotmail.com;Female;6;HalfTime
26;Tami;Stamm;Engineer;Tami19@gmail.com;Male;19;HalfTime
27;Conrad;Prosacco;Executive;Conrad73@yahoo.com;Female;20;HalfTime
28;Dallas;Swaniawski;Director;Dallas.Swaniawski63@gmail.com;Female;16;FullTime
29;Benny;Yost;Supervisor;Benny.Yost12@yahoo.com;Female;20;HalfTime
30;Leonard;Oberbrunner;Engineer;Leonard_Oberbrunner37@gmail.com;Female;17;HalfTime
31;Olivia;Hane;Specialist;Olivia_Hane@gmail.com;Male;0;Intern
32;Denise;Wiza;Manager;Denise_Wiza65@yahoo.com;Male;7;FullTime
33;Helen;Dicki;Specialist;Helen.Dicki94@hotmail.com;Male;9;FullTime
34;Corey;Dietrich;Director;Corey_Dietrich83@yahoo.com;Male;0;Intern
35;Sheila;Swift;Representative;Sheila.Swift@hotmail.com;Female;16;HalfTime
36;Alberta;Metz;Administrator;Alberta.Metz@gmail.com;Female;6;FullTime
37;Mona;Kerluke;Facilitator;Mona_Kerluke@yahoo.com;Female;0;Intern
38;Aubrey;Howe;Director;Aubrey.Howe@hotmail.com;Male;0;Intern
39;Joanne;Will;Officer;Joanne_Will19@gmail.com;Male;18;FullTime
40;Marty;Herman;Orchestrator;Marty.Herman34@gmail.com;Female;17;HalfTime
41;Ella;Dickinson;Facilitator;Ella.Dickinson@gmail.com;Male;0;Intern
42;Gladys;Quitzon;Coordinator;Gladys.Quitzon20@gmail.com;Female;14;HalfTime
43;Myrtle;Hilpert;Architect;Myrtle_Hilpert@hotmail.com;Female;20;FullTime
44;Dwayne;Herzog;Associate;Dwayne20@yahoo.com;Male;0;Intern
45;Anna;Parisian;Assistant;Anna34@hotmail.com;Male;20;HalfTime
46;Sally;Pfeffer;Analyst;Sally6@gmail.com;Female;18;FullTime
47;Sergio;Dickinson;Facilitator;Sergio_Dickinson87@hotmail.com;Male;13;HalfTime
48;Helen;Christiansen;Consultant;Helen_Christiansen@gmail.com;Female;0;Intern
49;Jerry;Fritsch;Manager;Jerry21@hotmail.com;Female;20;HalfTime
50;Mark;Russel;Administrator;Mark.Russel@hotmail.com;Male;0;Intern
51;Clara;Herman;Associate;Clara_Herman@yahoo.com;Male;7;HalfTime
52;Dixie;Lind;Engineer;Dixie.Lind@hotmail.com;Male;15;FullTime
53;Kayla;Cremin;Executive;Kayla31@hotmail.com;Female;7;FullTime
54;Evelyn;Kuphal;Producer;Evelyn56@yahoo.com;Female;9;HalfTime
55;Bob;Lockman;Analyst;Bob.Lockman20@hotmail.com;Female;12;HalfTime
56;Bernard;Gaylord;Executive;Bernard.Gaylord64@gmail.com;Male;20;HalfTime
57;Samantha;Waters;Director;Samantha.Waters@hotmail.com;Female;9;FullTime
58;Domingo;Kiehn;Officer;Domingo_Kiehn49@yahoo.com;Female;0;Intern
59;Mona;Lebsack;Designer;Mona88@gmail.com;Female;16;FullTime
60;Janis;Muller;Supervisor;Janis_Muller@hotmail.com;Female;9;HalfTime
61;Blake;Conroy;Specialist;Blake30@gmail.com;Female;0;Intern
62;Harold;Blick;Producer;Harold6@yahoo.com;Female;8;HalfTime
63;Drew;Feest;Representative;Drew.Feest3@hotmail.com;Male;10;FullTime
64;Phillip;Marquardt;Specialist;Phillip_Marquardt@yahoo.com;Female;16;FullTime
65;Lori;Predovic;Strategist;Lori.Predovic@gmail.com;Female;11;HalfTime
66;Ernesto;Fritsch;Assistant;Ernesto.Fritsch@gmail.com;Male;10;HalfTime
67;Lindsay;Huels;Engineer;Lindsay.Huels64@yahoo.com;Male;9;FullTime
68;Victor;Leuschke;Agent;Victor37@hotmail.com;Male;8;HalfTime
69;Kayla;O'Conner;Architect;Kayla.OConner@gmail.com;Male;16;HalfTime
70;Ira;Bosco;Manager;Ira.Bosco38@gmail.com;Male;10;HalfTime
71;Earnest;Johnson;Officer;Earnest_Johnson@yahoo.com;Female;17;HalfTime
72;Oliver;Quitzon;Producer;Oliver.Quitzon@yahoo.com;Female;9;FullTime
73;Alison;Weimann;Planner;Alison.Weimann88@hotmail.com;Female;0;Intern
74;Andre;Zboncak;Orchestrator;Andre94@hotmail.com;Female;0;Intern
75;Kathryn;Collins;Associate;Kathryn99@gmail.com;Female;7;FullTime
76;Brian;Abbott;Liaison;Brian92@yahoo.com;Female;19;HalfTime
77;Joann;Herzog;Agent;Joann68@gmail.com;Female;14;FullTime
78;Lionel;Bayer;Consultant;Lionel76@yahoo.com;Male;5;FullTime
79;Gabriel;Mosciski;Executive;Gabriel82@yahoo.com;Male;11;HalfTime
80;Amos;Spinka;Coordinator;Amos.Spinka@gmail.com;Female;0;Intern
81;Annie;Lehner;Architect;Annie.Lehner@hotmail.com;Female;9;HalfTime
82;Max;Schmitt;Assistant;Max_Schmitt44@gmail.com;Male;0;Intern
83;Jan;McGlynn;Consultant;Jan46@hotmail.com;Male;0;Intern
84;Shannon;Schowalter;Facilitator;Shannon_Schowalter38@yahoo.com;Male;19;FullTime
85;Salvador;Swift;Consultant;Salvador_Swift2@yahoo.com;Male;8;FullTime
86;Anthony;Quitzon;Analyst;Anthony_Quitzon@gmail.com;Male;20;FullTime
87;April;Kertzmann;Associate;April.Kertzmann94@hotmail.com;Female;0;Intern
88;June;Lehner;Orchestrator;June_Lehner89@hotmail.com;Female;19;HalfTime
89;Alton;Pollich;Officer;Alton68@hotmail.com;Female;16;FullTime
90;Devin;Schroeder;Developer;Devin21@gmail.com;Female;0;Intern
91;Yolanda;Olson;Assistant;Yolanda26@yahoo.com;Male;0;Intern
92;Lindsey;Leannon;Manager;Lindsey.Leannon82@gmail.com;Male;0;Intern
93;Meredith;Stiedemann;Representative;Meredith31@gmail.com;Female;11;HalfTime
94;Brandi;Kozey;Orchestrator;Brandi_Kozey@yahoo.com;Male;6;FullTime
95;Yvette;Blanda;Analyst;Yvette_Blanda@hotmail.com;Female;17;FullTime
96;Lila;Thiel;Liaison;Lila_Thiel@hotmail.com;Male;0;Intern
97;Edmund;Kunde;Architect;Edmund87@gmail.com;Female;5;FullTime
98;Danielle;Fadel;Producer;Danielle66@hotmail.com;Male;19;FullTime
99;Rebecca;Mohr;Liaison;Rebecca_Mohr@gmail.com;Male;0;Intern
;;;;;;963;
